# Track profile of the reference race (2263 frames, finishes at the Race Over flag)

     frames  kind slope  posX_start   posX_end       velX    angle
  launch frame   954 @posX  3398.08  -> land frame   980 @posX  3489.33  (26 frames aloft, velX 832)
  launch frame  1063 @posX  3798.14  -> land frame  1121 @posX  4070.39  (58 frames aloft, velX 1088)
  launch frame  1132 @posX  4128.39  -> land frame  1193 @posX  4469.58  (61 frames aloft, velX 1344)
  launch frame  1193 @posX  4475.61  -> land frame  1195 @posX  4480.64  (2 frames aloft, velX 1288)
  launch frame  1196 @posX  4493.70  -> land frame  1198 @posX  4500.73  (2 frames aloft, velX 1544)
  launch frame  1198 @posX  4506.77  -> land frame  1200 @posX  4513.80  (2 frames aloft, velX 1544)
  launch frame  1200 @posX  4520.83  -> land frame  1201 @posX  4520.83  (1 frames aloft, velX 1544)
  launch frame  1201 @posX  4527.86  -> land frame  1203 @posX  4533.89  (2 frames aloft, velX 1544)
  launch frame  1203 @posX  4540.92  -> land frame  1206 @posX  4554.98  (3 frames aloft, velX 1544)
  launch frame  1206 @posX  4561.02  -> land frame  1207 @posX  4561.02  (1 frames aloft, velX 1544)
  launch frame  1207 @posX  4568.05  -> land frame  1208 @posX  4568.05  (1 frames aloft, velX 1544)
  launch frame  1208 @posX  4575.08  -> land frame  1210 @posX  4582.11  (2 frames aloft, velX 1544)
  launch frame  1210 @posX  4588.14  -> land frame  1213 @posX  4602.20  (3 frames aloft, velX 1544)
  launch frame  1213 @posX  4609.23  -> land frame  1214 @posX  4609.23  (1 frames aloft, velX 1544)
  launch frame  1214 @posX  4615.27  -> land frame  1216 @posX  4622.30  (2 frames aloft, velX 1544)
  launch frame  1216 @posX  4629.33  -> land frame  1217 @posX  4629.33  (1 frames aloft, velX 1544)
  launch frame  1217 @posX  4636.36  -> land frame  1248 @posX  4839.30  (31 frames aloft, velX 1544)
  launch frame  1248 @posX  4846.33  -> land frame  1252 @posX  4866.42  (4 frames aloft, velX 1544)
  launch frame  1252 @posX  4873.45  -> land frame  1253 @posX  4873.45  (1 frames aloft, velX 1544)
  launch frame  1253 @posX  4880.48  -> land frame  1256 @posX  4893.55  (3 frames aloft, velX 1544)
  launch frame  1256 @posX  4900.58  -> land frame  1302 @posX  5205.98  (46 frames aloft, velX 1544)
  launch frame  1302 @posX  5213.02  -> land frame  1308 @posX  5247.17  (6 frames aloft, velX 1544)
  launch frame  1308 @posX  5253.20  -> land frame  1310 @posX  5260.23  (2 frames aloft, velX 1544)
  launch frame  1310 @posX  5267.27  -> land frame  1314 @posX  5287.36  (4 frames aloft, velX 1544)
  launch frame  1314 @posX  5294.39  -> land frame  1336 @posX  5437.05  (22 frames aloft, velX 1544)
  launch frame  1336 @posX  5443.08  -> land frame  1339 @posX  5457.14  (3 frames aloft, velX 1544)
  launch frame  1342 @posX  5484.27  -> land frame  1344 @posX  5491.30  (2 frames aloft, velX 1544)
  launch frame  1344 @posX  5497.33  -> land frame  1348 @posX  5518.42  (4 frames aloft, velX 1544)
  launch frame  1348 @posX  5524.45  -> land frame  1351 @posX  5538.52  (3 frames aloft, velX 1544)
  launch frame  1351 @posX  5545.55  -> land frame  1357 @posX  5578.70  (6 frames aloft, velX 1544)
  launch frame  1357 @posX  5585.73  -> land frame  1359 @posX  5592.77  (2 frames aloft, velX 1544)
  launch frame  1359 @posX  5599.80  -> land frame  1364 @posX  5626.92  (5 frames aloft, velX 1544)
  launch frame  1364 @posX  5632.95  -> land frame  1462 @posX  6291.98  (98 frames aloft, velX 1544)
  launch frame  1462 @posX  6298.02  -> land frame  1466 @posX  6319.11  (4 frames aloft, velX 1544)
  launch frame  1466 @posX  6325.14  -> land frame  1474 @posX  6373.36  (8 frames aloft, velX 1544)
  launch frame  1474 @posX  6379.39  -> land frame  1478 @posX  6400.48  (4 frames aloft, velX 1544)
  launch frame  1478 @posX  6406.52  -> land frame  1485 @posX  6447.70  (7 frames aloft, velX 1544)
  launch frame  1588 @posX  7152.95  -> land frame  1590 @posX  7159.98  (2 frames aloft, velX 1544)
  launch frame  1590 @posX  7167.02  -> land frame  1591 @posX  7167.02  (1 frames aloft, velX 1544)
  launch frame  1591 @posX  7174.05  -> land frame  1596 @posX  7201.17  (5 frames aloft, velX 1544)
  launch frame  1596 @posX  7207.20  -> land frame  1638 @posX  7485.48  (42 frames aloft, velX 1544)
  launch frame  1638 @posX  7492.52  -> land frame  1641 @posX  7506.58  (3 frames aloft, velX 1544)
  launch frame  1641 @posX  7512.61  -> land frame  1642 @posX  7512.61  (1 frames aloft, velX 1544)
  launch frame  1642 @posX  7519.64  -> land frame  1645 @posX  7533.70  (3 frames aloft, velX 1544)
  launch frame  1645 @posX  7539.73  -> land frame  1710 @posX  7974.73  (65 frames aloft, velX 1544)
  launch frame  1710 @posX  7980.77  -> land frame  1713 @posX  7994.83  (3 frames aloft, velX 1544)
  launch frame  1713 @posX  8001.86  -> land frame  1714 @posX  8001.86  (1 frames aloft, velX 1544)
  launch frame  1714 @posX  8007.89  -> land frame  1717 @posX  8021.95  (3 frames aloft, velX 1544)
  launch frame  1717 @posX  8028.98  -> land frame  1720 @posX  8042.05  (3 frames aloft, velX 1544)
  launch frame  1723 @posX  8069.17  -> land frame  1724 @posX  8069.17  (1 frames aloft, velX 1544)
  launch frame  1724 @posX  8076.20  -> land frame  1725 @posX  8076.20  (1 frames aloft, velX 1544)
  launch frame  1725 @posX  8083.23  -> land frame  1728 @posX  8096.30  (3 frames aloft, velX 1544)
  launch frame  1728 @posX  8103.33  -> land frame  1804 @posX  8611.67  (76 frames aloft, velX 1544)
  launch frame  1804 @posX  8618.70  -> land frame  1807 @posX  8632.77  (3 frames aloft, velX 1544)
  launch frame  1807 @posX  8638.80  -> land frame  1808 @posX  8638.80  (1 frames aloft, velX 1544)
  launch frame  1808 @posX  8645.83  -> land frame  1811 @posX  8659.89  (3 frames aloft, velX 1544)
  launch frame  1811 @posX  8665.92  -> land frame  1815 @posX  8687.02  (4 frames aloft, velX 1544)
  launch frame  1815 @posX  8694.05  -> land frame  1816 @posX  8694.05  (1 frames aloft, velX 1544)
  launch frame  1817 @posX  8707.11  -> land frame  1819 @posX  8714.14  (2 frames aloft, velX 1544)
  launch frame  1819 @posX  8721.17  -> land frame  1822 @posX  8734.23  (3 frames aloft, velX 1544)
  launch frame  1822 @posX  8741.27  -> land frame  1897 @posX  9243.58  (75 frames aloft, velX 1544)
  launch frame  1897 @posX  9249.61  -> land frame  1901 @posX  9270.70  (4 frames aloft, velX 1544)
  launch frame  1901 @posX  9276.73  -> land frame  1903 @posX  9283.77  (2 frames aloft, velX 1544)
  launch frame  1903 @posX  9290.80  -> land frame  1905 @posX  9297.83  (2 frames aloft, velX 1544)
  launch frame  1905 @posX  9303.86  -> land frame  1913 @posX  9352.08  (8 frames aloft, velX 1544)
  launch frame  1913 @posX  9358.11  -> land frame  1915 @posX  9365.14  (2 frames aloft, velX 1544)
  launch frame  1915 @posX  9372.17  -> land frame  1917 @posX  9379.20  (2 frames aloft, velX 1544)
  launch frame  1917 @posX  9385.23  -> land frame  1921 @posX  9406.33  (4 frames aloft, velX 1544)
  launch frame  1921 @posX  9412.36  -> land frame  1968 @posX  9724.80  (47 frames aloft, velX 1544)
  launch frame  1980 @posX  9814.02  -> land frame  2020 @posX 10120.41  (40 frames aloft, velX 1788)
  launch frame  2022 @posX 10144.36  -> land frame  2059 @posX 10432.80  (37 frames aloft, velX 2044)
  launch frame  2061 @posX 10457.75  -> land frame  2063 @posX 10466.73  (2 frames aloft, velX 2300)
  launch frame  2063 @posX 10475.72  -> land frame  2064 @posX 10475.72  (1 frames aloft, velX 2300)
  launch frame  2064 @posX 10484.70  -> land frame  2065 @posX 10484.70  (1 frames aloft, velX 2300)
  launch frame  2065 @posX 10493.58  -> land frame  2066 @posX 10493.58  (1 frames aloft, velX 2272)
  launch frame  2066 @posX 10502.45  -> land frame  2070 @posX 10530.08  (4 frames aloft, velX 2272)
  launch frame  2070 @posX 10538.95  -> land frame  2072 @posX 10547.83  (2 frames aloft, velX 2272)
  launch frame  2072 @posX 10556.70  -> land frame  2159 @posX 11328.95  (87 frames aloft, velX 2272)
  launch frame  2166 @posX 11400.95  -> land frame  2263 @posX 12157.33  (97 frames aloft, velX 2272)

# Over-cap (downhill) ground stretches (velX > 832):
  frames  1121- 1126 @posX  4074.64- 4098.89  slope 0  velX 1088->1088
  frames  1127- 1128 @posX  4104.14- 4108.39  slope 5  velX 1088->1088
  frames  1129- 1131 @posX  4113.64- 4123.14  slope 6  velX 1088->1088
  frames  1195- 1195 @posX  4486.67- 4486.67  slope 6  velX 1288->1288
  frames  1339- 1341 @posX  5464.17- 5477.23  slope 5  velX 1544->1544
  frames  1485- 1582 @posX  6454.73- 7112.77  slope 0  velX 1544->1544
  frames  1583- 1583 @posX  7119.80- 7119.80  slope 5  velX 1544->1544
  frames  1584- 1587 @posX  7125.83- 7146.92  slope 6  velX 1544->1544
  frames  1720- 1720 @posX  8049.08- 8049.08  slope 0  velX 1544->1544
  frames  1721- 1722 @posX  8056.11- 8062.14  slope 6  velX 1544->1544
  frames  1816- 1816 @posX  8700.08- 8700.08  slope 6  velX 1544->1544
  frames  1968- 1976 @posX  9731.83- 9786.08  slope 0  velX 1544->1544
  frames  1977- 1977 @posX  9793.06- 9793.06  slope 5  velX 1532->1532
  frames  1978- 1979 @posX  9799.05- 9806.03  slope 6  velX 1532->1532
  frames  2020- 2021 @posX 10128.39-10136.38  slope 6  velX 1788->1788
  frames  2059- 2060 @posX 10440.78-10448.77  slope 6  velX 2044->2044
  frames  2159- 2165 @posX 11338.83-11392.08  slope 0  velX 2272->2272
